model,horizon,selection_method,weighting_scheme,rebalance_frequency,turnover_cap,gross_return,net_return,sharpe,max_drawdown,turnover,annualized_volatility,return_per_unit_turnover,mean_IC,quantile_spread
ranker,10,decile,equal,5,True,0.002586097217896155,0.0025160239430186415,0.029277088996528186,-0.2821607980042078,0.0005555555555555556,0.08593832342132797,4.528843097433555,0.028483120471291725,0.0027379479648458422
tree,20,decile,signal,5,False,0.0068806134850523115,0.002595565452314874,0.028702640171569448,-0.3212118899640597,0.0338562273484041,0.09042950184373055,0.07666434377359008,0.01021951979489251,-0.0017791915761458802
tree,20,decile,signal,5,True,0.006858814555117165,0.002585011756335076,0.028598476455900315,-0.3212118899640589,0.033768508415036806,0.09038984158198915,0.07655096057437924,0.01021951979489251,-0.0017791915761458802
ranker,10,decile,equal,1,False,0.0023688311612901636,0.002298683182511585,0.026733900386031306,-0.2821607980042058,0.0005555555555555556,0.08598383136463944,4.137629728520853,0.028483120471291725,0.0027379479648458422
ranker,10,decile,equal,5,False,0.0023688311612901636,0.002298683182511585,0.026733900386031306,-0.2821607980042058,0.0005555555555555556,0.08598383136463944,4.137629728520853,0.028483120471291725,0.0027379479648458422
ranker,10,decile,equal,10,False,0.0023688311612901636,0.002298683182511585,0.026733900386031306,-0.2821607980042058,0.0005555555555555556,0.08598383136463944,4.137629728520853,0.028483120471291725,0.0027379479648458422
ranker,10,decile,equal,1,True,0.002335912265906126,0.0022657939421324436,0.026351531294809702,-0.28216079800420657,0.0005555555555555556,0.08598338809170923,4.078429095838398,0.028483120471291725,0.0027379479648458422
ranker,10,decile,equal,10,True,0.0018215759130206788,0.0017514269164451424,0.02038822631177258,-0.28158169646812004,0.0005555555555555556,0.08590383928757121,3.1525684496012563,0.028483120471291725,0.0027379479648458422
ranker,20,decile,equal,5,True,0.0008137689554861272,0.0007434287880565549,0.008648294575891382,-0.2821607980042078,0.0005586592178770949,0.08596247289367216,1.3307375306212335,0.03084095064210951,0.002567897834511522
tree,20,decile,equal,5,True,0.0008137689554861272,0.0007434287880565549,0.008648294575891382,-0.2821607980042078,0.0005586592178770949,0.08596247289367216,1.3307375306212335,0.01021951979489251,-0.0017791915761458802
