model,horizon,period,cost_level,selection,weighting,rebalance,net_return,Sharpe,turnover,max_drawdown,IC
ranker,10,2018-2020,5,decile,equal,5,-0.07949057408965099,-1.4205335453634413,0.004347826086956522,-0.082949305393203,0.06102711356186315
ranker,10,2020-2022,5,decile,equal,5,-0.0980691060152632,-0.9441847045725074,0.0019801980198019802,-0.21523114534287513,0.015644574162742172
ranker,10,2022-2026,5,decile,equal,5,0.06898526753731393,0.8506939262219992,0.0009389671361502347,-0.13683062260732215,0.027356375502709175
ranker,10,full,2,decile,equal,5,0.002558069419238862,0.029766098701037323,0.0005555555555555556,-0.28216079800420635,0.028372936656554774
ranker,10,full,5,decile,equal,5,0.0025160239430186415,0.029277088996528186,0.0005555555555555556,-0.2821607980042078,0.028372936656554774
ranker,10,full,5,decile,equal,10,0.0017514269164451424,0.02038822631177258,0.0005555555555555556,-0.28158169646812004,0.028372936656554774
ranker,10,full,5,decile,signal,5,-0.0024183467948301063,-0.02778872885537578,0.013806263861156525,-0.3150204318892076,0.028372936656554774
ranker,10,full,5,decile,signal,10,-0.001179663028016087,-0.013570532255618606,0.007632954632901619,-0.30762988369574384,0.028372936656554774
ranker,10,full,5,quintile,equal,5,-0.005409305213755045,-0.10142229791066851,0.0005555555555555556,-0.16068480670383523,0.028372936656554774
ranker,10,full,5,quintile,equal,10,-0.00558258426615077,-0.10468561552723289,0.0005555555555555556,-0.160684806703833,0.028372936656554774
ranker,10,full,5,quintile,signal,5,-0.010042662106093392,-0.17746715846270003,0.017799954460657862,-0.15166676325930972,0.028372936656554774
ranker,10,full,5,quintile,signal,10,-0.007881916118985588,-0.13977629360626082,0.00940957189053564,-0.15108585969262367,0.028372936656554774
ranker,10,full,10,decile,equal,5,0.002445938071139686,0.028461883983801742,0.0005555555555555556,-0.2821607980042077,0.028372936656554774
ranker,20,2018-2020,5,decile,equal,5,-0.07949057408965099,-1.4205335453634413,0.004347826086956522,-0.082949305393203,0.082367551678421
ranker,20,2020-2022,5,decile,equal,5,-0.0980691060152632,-0.9441847045725074,0.0019801980198019802,-0.21523114534287513,0.028092903722774013
ranker,20,2022-2026,5,decile,equal,5,0.06642903243919895,0.8191258041193357,0.0009478672985781991,-0.13683062260732215,0.021257947831003172
ranker,20,full,2,decile,equal,5,0.0007856344022683093,0.009139196715875196,0.0005586592178770949,-0.28216079800420635,0.03103831744566819
ranker,20,full,5,decile,equal,5,0.0007434287880565549,0.008648294575891382,0.0005586592178770949,-0.2821607980042078,0.03103831744566819
ranker,20,full,5,decile,equal,10,-2.4078622635759217e-05,-0.0002802194242722385,0.0005586592178770949,-0.28158169646812004,0.03103831744566819
ranker,20,full,5,decile,signal,5,-0.006080059450363717,-0.07002502033393665,0.012438529543067048,-0.3059673472140524,0.03103831744566819
ranker,20,full,5,decile,signal,10,-0.005756854388797694,-0.0664389807735969,0.006668560700978822,-0.30095595388121854,0.03103831744566819
ranker,20,full,5,quintile,equal,5,-0.005650662628536418,-0.10594212661133591,0.0005586592178770949,-0.16068480670383523,0.03103831744566819
ranker,20,full,5,quintile,equal,10,-0.005824867350991303,-0.1092233431142497,0.0005586592178770949,-0.160684806703833,0.03103831744566819
ranker,20,full,5,quintile,signal,5,-0.012892439861769467,-0.23230584605955004,0.015480150280275587,-0.15875954437920492,0.03103831744566819
ranker,20,full,5,quintile,signal,10,-0.012962025794204801,-0.233719101209755,0.008581166575317115,-0.15622074080658133,0.03103831744566819
ranker,20,full,10,decile,equal,5,0.0006730760031206096,0.007829974091898336,0.0005586592178770949,-0.2821607980042077,0.03103831744566819
tree,20,2018-2020,5,decile,equal,5,-0.07949057408965099,-1.4205335453634413,0.004347826086956522,-0.082949305393203,0.055468919413437255
tree,20,2020-2022,5,decile,equal,5,-0.0980691060152632,-0.9441847045725074,0.0019801980198019802,-0.21523114534287513,0.02500207087205084
tree,20,2022-2026,5,decile,equal,5,0.06642903243919895,0.8191258041193357,0.0009478672985781991,-0.13683062260732215,-0.006214685325784152
tree,20,full,2,decile,equal,5,0.0007856344022683093,0.009139196715875196,0.0005586592178770949,-0.28216079800420635,0.010518102925572046
tree,20,full,5,decile,equal,5,0.0007434287880565549,0.008648294575891382,0.0005586592178770949,-0.2821607980042078,0.010518102925572046
tree,20,full,5,decile,equal,10,-2.4078622635759217e-05,-0.0002802194242722385,0.0005586592178770949,-0.28158169646812004,0.010518102925572046
tree,20,full,5,decile,signal,5,-0.004862398949030067,-0.0539516638895893,0.03285211542004144,-0.3381762269429861,0.010518102925572046
tree,20,full,5,decile,signal,10,-0.00531102589009369,-0.05896594989023247,0.018742741237296297,-0.3203976073993525,0.010518102925572046
tree,20,full,5,quintile,equal,5,-0.005650662628536418,-0.10594212661133591,0.0005586592178770949,-0.16068480670383523,0.010518102925572046
tree,20,full,5,quintile,equal,10,-0.005824867350991303,-0.1092233431142497,0.0005586592178770949,-0.160684806703833,0.010518102925572046
tree,20,full,5,quintile,signal,5,-0.014505346790531282,-0.23693203617547928,0.03393877291047582,-0.19708089524423822,0.010518102925572046
tree,20,full,5,quintile,signal,10,-0.016476997727723264,-0.2684947422713047,0.019256637000285914,-0.1840905255717239,0.010518102925572046
tree,20,full,10,decile,equal,5,0.0006730760031206096,0.007829974091898336,0.0005586592178770949,-0.2821607980042077,0.010518102925572046
